agency,year,budget
Office of the Nuclear Waste Negotiator,1978,0
Office of the Nuclear Waste Negotiator,1979,0
Office of the Nuclear Waste Negotiator,1980,0
Office of the Nuclear Waste Negotiator,1981,0
Office of the Nuclear Waste Negotiator,1982,0
Office of the Nuclear Waste Negotiator,1983,0
Office of the Nuclear Waste Negotiator,1984,0
Office of the Nuclear Waste Negotiator,1985,0
Office of the Nuclear Waste Negotiator,1986,0
Office of the Nuclear Waste Negotiator,1987,0
Office of the Nuclear Waste Negotiator,1988,0
Office of the Nuclear Waste Negotiator,1989,0
Office of the Nuclear Waste Negotiator,1990,1972
Office of the Nuclear Waste Negotiator,1991,0
Office of the Nuclear Waste Negotiator,1992,0
Office of the Nuclear Waste Negotiator,1993,0
Office of the Nuclear Waste Negotiator,1994,1000
Office of the Nuclear Waste Negotiator,1995,0
Office of the Nuclear Waste Negotiator,1996,0
Office of the Nuclear Waste Negotiator,1997,0
Office of the Nuclear Waste Negotiator,1998,0
Office of the Nuclear Waste Negotiator,1999,0
Office of the Nuclear Waste Negotiator,2000,0
Office of the Nuclear Waste Negotiator,2001,0
Office of the Nuclear Waste Negotiator,2002,0
Office of the Nuclear Waste Negotiator,2003,0
Office of the Nuclear Waste Negotiator,2004,0
Office of the Nuclear Waste Negotiator,2005,0
Office of the Nuclear Waste Negotiator,2006,0
Office of the Nuclear Waste Negotiator,2007,0
Office of the Nuclear Waste Negotiator,2008,0
Office of the Nuclear Waste Negotiator,2009,0
Office of the Nuclear Waste Negotiator,2010,0
Office of the Nuclear Waste Negotiator,2011,0
Office of the Nuclear Waste Negotiator,2012,0
Office of the Nuclear Waste Negotiator,2013,0
Office of the Nuclear Waste Negotiator,2014,0
Office of the Nuclear Waste Negotiator,2015,0
Office of the Nuclear Waste Negotiator,2016,0
Office of the Nuclear Waste Negotiator,2017,0
Office of the Nuclear Waste Negotiator,2018,0
Office of the Nuclear Waste Negotiator,2019,0
Office of the Nuclear Waste Negotiator,2020,0
Panama Canal Commission,1976,0
Panama Canal Commission,1977,51279
Panama Canal Commission,1978,52766
Panama Canal Commission,1979,57346
Panama Canal Commission,1980,-455539
Panama Canal Commission,1981,-759687
Panama Canal Commission,1982,-440139
Panama Canal Commission,1983,-426581
Panama Canal Commission,1984,-405954
Panama Canal Commission,1985,-416107
Panama Canal Commission,1986,-436961
Panama Canal Commission,1987,-441233
Panama Canal Commission,1988,-112765
Panama Canal Commission,1989,0
Panama Canal Commission,1990,0
Panama Canal Commission,1991,0
Panama Canal Commission,1992,0
Panama Canal Commission,1993,0
Panama Canal Commission,1994,0
Panama Canal Commission,1995,0
Panama Canal Commission,1996,-2000
Panama Canal Commission,1997,-2000
Panama Canal Commission,1998,-2000
Panama Canal Commission,1999,6000
Panama Canal Commission,2000,0
Panama Canal Commission,2001,0
Panama Canal Commission,2002,0
Panama Canal Commission,2003,0
Panama Canal Commission,2004,0
Panama Canal Commission,2005,0
Panama Canal Commission,2006,0
Panama Canal Commission,2007,0
Panama Canal Commission,2008,0
Panama Canal Commission,2009,0
Panama Canal Commission,2010,0
Panama Canal Commission,2011,0
Panama Canal Commission,2012,0
Panama Canal Commission,2013,0
Panama Canal Commission,2014,0
Panama Canal Commission,2015,0
Panama Canal Commission,2016,0
Panama Canal Commission,2017,0
Panama Canal Commission,2018,0
Panama Canal Commission,2019,0
Panama Canal Commission,2020,0
Postal Service,1976,0
Postal Service,1977,2266170
Postal Service,1978,1787288
Postal Service,1979,1785176
Postal Service,1980,1676810
Postal Service,1981,1343217
Postal Service,1982,706810
Postal Service,1983,989404
Postal Service,1984,1797971
Postal Service,1985,2639438
Postal Service,1986,2504308
Postal Service,1987,2943953
Postal Service,1988,1458290
Postal Service,1989,2045989
Postal Service,1990,3572549
Postal Service,1991,3811730
Postal Service,1992,2708872
Postal Service,1993,2399884
Postal Service,1994,2862616
Postal Service,1995,2684000
Postal Service,1996,3563000
Postal Service,1997,3851000
Postal Service,1998,6445000
Postal Service,1999,5636000
Postal Service,2000,3812000
Postal Service,2001,4157000
Postal Service,2002,3754000
Postal Service,2003,5462000
Postal Service,2004,2117000
Postal Service,2005,1573000
Postal Service,2006,3797000
Postal Service,2007,9003000
Postal Service,2008,9786000
Postal Service,2009,6696000
Postal Service,2010,4819000
Postal Service,2011,1097000
Postal Service,2012,2329000
Postal Service,2013,74000
Postal Service,2014,75000
Postal Service,2015,359000
Postal Service,2016,573000
Postal Service,2017,338000
Postal Service,2018,344000
Postal Service,2019,347000
Postal Service,2020,349000
Pres.Comm.for Study of Ethical Problems in Medicine,1976,0
Pres.Comm.for Study of Ethical Problems in Medicine,1977,0
Pres.Comm.for Study of Ethical Problems in Medicine,1978,0
Pres.Comm.for Study of Ethical Problems in Medicine,1979,0
Pres.Comm.for Study of Ethical Problems in Medicine,1980,0
Pres.Comm.for Study of Ethical Problems in Medicine,1981,1500
Pres.Comm.for Study of Ethical Problems in Medicine,1982,1749
Pres.Comm.for Study of Ethical Problems in Medicine,1983,0
Pres.Comm.for Study of Ethical Problems in Medicine,1984,0
Pres.Comm.for Study of Ethical Problems in Medicine,1985,0
Pres.Comm.for Study of Ethical Problems in Medicine,1986,0
Pres.Comm.for Study of Ethical Problems in Medicine,1987,0
Pres.Comm.for Study of Ethical Problems in Medicine,1988,0
Pres.Comm.for Study of Ethical Problems in Medicine,1989,0
Pres.Comm.for Study of Ethical Problems in Medicine,1990,0
Pres.Comm.for Study of Ethical Problems in Medicine,1991,0
Pres.Comm.for Study of Ethical Problems in Medicine,1992,0
Pres.Comm.for Study of Ethical Problems in Medicine,1993,0
Pres.Comm.for Study of Ethical Problems in Medicine,1994,0
Pres.Comm.for Study of Ethical Problems in Medicine,1995,0
Pres.Comm.for Study of Ethical Problems in Medicine,1996,0
Pres.Comm.for Study of Ethical Problems in Medicine,1997,0
Pres.Comm.for Study of Ethical Problems in Medicine,1998,0
Pres.Comm.for Study of Ethical Problems in Medicine,1999,0
Pres.Comm.for Study of Ethical Problems in Medicine,2000,0
Pres.Comm.for Study of Ethical Problems in Medicine,2001,0
Pres.Comm.for Study of Ethical Problems in Medicine,2002,0
Pres.Comm.for Study of Ethical Problems in Medicine,2003,0
Pres.Comm.for Study of Ethical Problems in Medicine,2004,0
Pres.Comm.for Study of Ethical Problems in Medicine,2005,0
Pres.Comm.for Study of Ethical Problems in Medicine,2006,0
Pres.Comm.for Study of Ethical Problems in Medicine,2007,0
Pres.Comm.for Study of Ethical Problems in Medicine,2008,0
Pres.Comm.for Study of Ethical Problems in Medicine,2009,0
Pres.Comm.for Study of Ethical Problems in Medicine,2010,0
Pres.Comm.for Study of Ethical Problems in Medicine,2011,0
Pres.Comm.for Study of Ethical Problems in Medicine,2012,0
Pres.Comm.for Study of Ethical Problems in Medicine,2013,0
Pres.Comm.for Study of Ethical Problems in Medicine,2014,0
Pres.Comm.for Study of Ethical Problems in Medicine,2015,0
Pres.Comm.for Study of Ethical Problems in Medicine,2016,0
Pres.Comm.for Study of Ethical Problems in Medicine,2017,0
Pres.Comm.for Study of Ethical Problems in Medicine,2018,0
Pres.Comm.for Study of Ethical Problems in Medicine,2019,0
Pres.Comm.for Study of Ethical Problems in Medicine,2020,0
President's Commission on Catastrophic Nuclear Accidents,1976,0
President's Commission on Catastrophic Nuclear Accidents,1977,0
President's Commission on Catastrophic Nuclear Accidents,1978,0
President's Commission on Catastrophic Nuclear Accidents,1979,0
President's Commission on Catastrophic Nuclear Accidents,1980,0
President's Commission on Catastrophic Nuclear Accidents,1981,0
President's Commission on Catastrophic Nuclear Accidents,1982,0
President's Commission on Catastrophic Nuclear Accidents,1983,0
President's Commission on Catastrophic Nuclear Accidents,1984,0
President's Commission on Catastrophic Nuclear Accidents,1985,0
President's Commission on Catastrophic Nuclear Accidents,1986,0
President's Commission on Catastrophic Nuclear Accidents,1987,0
President's Commission on Catastrophic Nuclear Accidents,1988,0
President's Commission on Catastrophic Nuclear Accidents,1989,100
President's Commission on Catastrophic Nuclear Accidents,1990,365
President's Commission on Catastrophic Nuclear Accidents,1991,0
President's Commission on Catastrophic Nuclear Accidents,1992,0
President's Commission on Catastrophic Nuclear Accidents,1993,0
President's Commission on Catastrophic Nuclear Accidents,1994,0
President's Commission on Catastrophic Nuclear Accidents,1995,0
President's Commission on Catastrophic Nuclear Accidents,1996,0
President's Commission on Catastrophic Nuclear Accidents,1997,0
President's Commission on Catastrophic Nuclear Accidents,1998,0
President's Commission on Catastrophic Nuclear Accidents,1999,0
President's Commission on Catastrophic Nuclear Accidents,2000,0
President's Commission on Catastrophic Nuclear Accidents,2001,0
President's Commission on Catastrophic Nuclear Accidents,2002,0
President's Commission on Catastrophic Nuclear Accidents,2003,0
President's Commission on Catastrophic Nuclear Accidents,2004,0
President's Commission on Catastrophic Nuclear Accidents,2005,0
President's Commission on Catastrophic Nuclear Accidents,2006,0
President's Commission on Catastrophic Nuclear Accidents,2007,0
President's Commission on Catastrophic Nuclear Accidents,2008,0
President's Commission on Catastrophic Nuclear Accidents,2009,0
President's Commission on Catastrophic Nuclear Accidents,2010,0
President's Commission on Catastrophic Nuclear Accidents,2011,0
President's Commission on Catastrophic Nuclear Accidents,2012,0
President's Commission on Catastrophic Nuclear Accidents,2013,0
President's Commission on Catastrophic Nuclear Accidents,2014,0
President's Commission on Catastrophic Nuclear Accidents,2015,0
President's Commission on Catastrophic Nuclear Accidents,2016,0
President's Commission on Catastrophic Nuclear Accidents,2017,0
President's Commission on Catastrophic Nuclear Accidents,2018,0
