word,date,matches,freq
holds,1753,117,1.36E-05
holds,1754,173,1.89E-05
holds,1755,228,2.56E-05
holds,1756,60,1.73E-05
holds,1757,267,3.27E-05
holds,1758,138,1.71E-05
holds,1759,198,1.91E-05
holds,1760,120,1.65E-05
holds,1761,153,3.09E-05
holds,1762,153,4.10E-05
holds,1763,131,2.52E-05
holds,1764,170,2.85E-05
holds,1765,222,4.45E-05
holds,1766,271,2.86E-05
holds,1767,225,2.48E-05
holds,1768,383,3.17E-05
holds,1769,198,2.26E-05
holds,1770,233,1.97E-05
holds,1771,235,2.42E-05
holds,1772,259,2.73E-05
holds,1773,137,1.62E-05
holds,1774,346,3.69E-05
holds,1775,179,1.93E-05
holds,1776,340,3.18E-05
holds,1777,370,3.02E-05
holds,1778,245,3.13E-05
holds,1779,241,2.60E-05
holds,1780,183,1.95E-05
holds,1781,155,1.65E-05
holds,1782,137,1.55E-05
holds,1783,206,1.90E-05
holds,1784,435,3.25E-05
holds,1785,257,1.98E-05
holds,1786,273,2.17E-05
holds,1787,470,2.00E-05
holds,1788,732,2.88E-05
holds,1789,331,1.64E-05
holds,1790,528,2.28E-05
holds,1791,707,3.14E-05
holds,1792,680,2.78E-05
holds,1793,604,2.53E-05
holds,1794,667,2.74E-05
holds,1795,1350,5.29E-05
holds,1796,560,2.07E-05
holds,1797,516,2.49E-05
holds,1798,549,2.57E-05
holds,1799,666,2.41E-05
holds,1800,1003,2.30E-05
holds,1801,1831,2.77E-05
holds,1802,1100,2.23E-05
holds,1803,1826,2.66E-05
holds,1804,1714,2.01E-05
holds,1805,1751,2.40E-05
holds,1806,2048,2.25E-05
holds,1807,2394,2.63E-05
holds,1808,2804,2.61E-05
holds,1809,2801,2.60E-05
holds,1810,2384,2.10E-05
holds,1811,3470,2.57E-05
holds,1812,2720,2.11E-05
holds,1813,2404,2.31E-05
holds,1814,2491,2.05E-05
holds,1815,2789,2.34E-05
holds,1816,3360,2.45E-05
holds,1817,2967,2.10E-05
holds,1818,3193,2.16E-05
holds,1819,3234,2.48E-05
holds,1820,4222,2.37E-05
holds,1821,3191,2.14E-05
holds,1822,4836,2.20E-05
holds,1823,4924,2.35E-05
holds,1824,6138,2.43E-05
holds,1825,5956,2.33E-05
holds,1826,4755,2.31E-05
holds,1827,4514,2.08E-05
